gdb_layer,feature_count,geometry_type,crs
harris_future_land_use_2050,20344,MultiPolygon,EPSG:3857
harris_census_tract_CHEI_2050,1115,MultiPolygon,EPSG:3857
harris_census_tract_employment_proj_2050,1115,MultiPolygon,EPSG:3857
harris_census_tract_households_proj_2050,1115,MultiPolygon,EPSG:3857
harris_census_tract_population_proj_2050,1115,MultiPolygon,EPSG:3857
harris_census_tract_climate_housing_exposure_index_2050,1115,MultiPolygon,EPSG:3857
harris_census_tract_compound_climate_inequality_hotspots_2050,1115,MultiPolygon,EPSG:3857
harris_housing_unit_change_2020_2050,20344,MultiPolygon,EPSG:3857
harris_census_tract_CHEI_adaptation_gap_2020_2050,1115,MultiPolygon,EPSG:3857
harris_census_tract_employment_growth_2020_2050,1115,MultiPolygon,EPSG:3857
harris_census_tract_household_growth_2020_2050,1115,MultiPolygon,EPSG:3857
harris_census_tract_population_growth_2020_2050,1115,MultiPolygon,EPSG:3857
harris_current_land_use_2020,20344,MultiPolygon,EPSG:3857
harris_census_tract_CHEI_2020,1115,MultiPolygon,EPSG:3857
harris_multi_family_2020,11572,Point,EPSG:3857
harris_census_tract_multi_family_units_2020,1115,MultiPolygon,EPSG:3857
harris_single_family_2020,1093063,Point,EPSG:3857
harris_census_tract_single_family_units_2020,1115,MultiPolygon,EPSG:3857
harris_census_tract_pop_density_2020,1115,MultiPolygon,EPSG:3857
harris_census_tract_social_vulnerability_index_2020,1115,MultiPolygon,EPSG:3857
gmt_30_model_pr_ssp_mean,246,Point Z,EPSG:3857
harris_census_tract_extreme_precip_gmt_30,1115,MultiPolygon,EPSG:3857
gmt_25_model_pr_ssp_mean,246,Point Z,EPSG:3857
harris_census_tract_extreme_precip_gmt_25,1115,MultiPolygon,EPSG:3857
harris_census_tract_extreme_precip_gmt_25_vs_15,1115,MultiPolygon,EPSG:3857
gmt_20_model_pr_ssp_mean,246,Point Z,EPSG:3857
harris_census_tract_extreme_precip_gmt_20,1115,MultiPolygon,EPSG:3857
gmt_15_model_pr_ssp_mean,246,Point Z,EPSG:3857
harris_census_tract_extreme_precip_gmt_15,1115,MultiPolygon,EPSG:3857
Harris_County,1,MultiPolygon,EPSG:3857
Harris_County_Zipcodes,155,MultiPolygon,EPSG:2278
Harris_County_Commissioner_Precincts,4,MultiPolygon,EPSG:3857
