x,y
-10615726.7731,3474782.1383000016
-10617420.5979,3494637.690200001
-10617693.6406,3494568.414300002
-10617730.6859,3494477.9924999997
-10617834.4283,3494626.065200001
-10617828.8955,3494600.376000002
-10617823.4232,3494573.8396999985
-10617819.7606,3494556.1872000024
-10617995.1459,3494508.8374999985
-10618002.6174,3494544.285099998
-10618009.9707,3494578.7190999985
-10618017.4103,3494612.731700003
-10617478.3476,3495184.824500002
-10618136.7232,3494517.5973000005
-10618176.8498,3494517.436999999
-10618108.4491,3494427.667199999
-10618133.8719,3494351.980700001
-10618154.8383,3494427.0046999976
-10618150.2565,3494087.391999997
-10618109.772,3494088.5640999973
-10618030.5443,3494090.1809
-10618149.2645,3494012.471199997
-10618003.9862,3493999.352300003
-10617065.2179,3495383.276100002
-10616197.866,3490923.9804999977
-10616024.6615,3491175.7925999984
-10615942.8831,3491773.6093999967
-10616212.0044,3491120.5754999965
-10616149.916,3490848.545900002
-10616663.7364,3493697.9751999974
-10616426.8257,3492884.4014
-10616874.5499,3492478.5161999986
-10616650.5645,3491657.4108999968
-10617807.1144,3492640.526900001
-10618138.4589,3493113.078400001
-10618138.3482,3492997.3867999986
-10618050.8393,3493055.0386999995
-10618094.6556,3493055.0392000005
-10618094.4964,3493112.8748999983
-10616699.3684,3491785.4209999964
-10617708.5995,3492700.140900001
-10617742.3656,3491042.289300002
-10617319.8313,3490775.8169
-10617713.5655,3490636.194600001
-10617830.7693,3491405.615199998
-10617830.6535,3491266.8707000017
-10617367.9802,3491733.1194999963
-10617433.9896,3491168.880099997
-10617829.9728,3491181.237800002
-10617608.0235,3491476.052699998
-10617687.8333,3491531.4356999993
-10617639.6292,3491532.524899997
-10617611.334,3491533.2981999964
-10617587.2579,3491536.8040999994
-10617535.1749,3491542.102600001
-10617532.67,3491506.5825000033
-10618764.3209,3492174.4575999975
-10618607.509,3492281.6125999987
-10618613.3162,3492217.1027999967
-10616685.5756,3490570.2591999993
-10616634.5344,3490561.2493999973
-10616582.3501,3490617.6796000004
-10616564.0717,3490617.7993
-10621966.5806,3452856.3062999994
-10621879.6937,3452924.3896000013
-10576177.1787,3461004.451399997
-10576160.0039,3460973.3812000006
-10610007.2187,3466048.1190000027
-10609536.6337,3466054.8571000025
-10582371.7533,3492122.649700001
-10582393.9583,3492174.0209000036
-10582097.2631,3492055.9782999977
-10582217.3027,3492053.069799997
-10582429.3086,3492054.3879999965
-10582116.0993,3491929.649599999
-10582022.8741,3491894.8200000003
-10612989.205,3475860.0112000033
-10612998.4342,3475841.4946999997
-10619430.3721,3501320.8049999997
-10583533.5646,3491985.5864999965
-10583372.0938,3491766.7322999984
-10583406.4843,3491950.1174999997
-10583352.4282,3491997.965800002
-10583304.1096,3491876.0339
-10583306.3902,3491853.5634000003
-10583364.7576,3491822.3510000035
-10583431.2142,3491928.1774000004
-10583220.2808,3491930.4460000023
-10583154.3625,3491963.207199998
-10583142.9496,3491977.270800002
-10583134.4419,3491987.3704999983
-10583148.6192,3491970.2518000007
-10583070.8455,3491963.292199999
-10582890.0095,3491941.6467999965
-10582568.2248,3492103.9988999963
-10582488.0958,3492037.471699998
-10582785.5098,3491462.0474999994
-10641254.5087,3466685.6340000033
-10641535.0848,3466701.2349999994
-10641371.7569,3463021.4716000035
-10605696.0931,3479287.0198
-10607820.3134,3454073.385300003
-10607884.0081,3454662.1181000024
-10616325.0259,3494540.645199999
-10616326.1372,3494646.782300003
-10616358.4107,3494702.3713999987
-10616357.238,3494596.0793000013
-10616356.9532,3494568.882799998
-10616356.6628,3494541.156499997
-10635027.4457,3486747.1899000034
-10634944.5128,3486670.2751
-10603629.9157,3470185.1411999986
-10603656.9477,3470801.3312000036
-10603648.2209,3470888.907399997
-10603883.9721,3472435.1753999963
-10603436.9245,3472535.4990999997
-10603807.5404,3472703.5493
-10603673.1622,3472704.6961999983
-10603624.9765,3472705.1357999966
-10606459.3481,3480895.376699999
-10624246.2671,3487553.010499999
-10624147.2966,3487695.850299999
-10622889.7639,3486225.800999999
-10624936.861,3485638.1903000027
-10622528.6803,3484384.7783999965
-10622310.2666,3484485.856899999
-10670127.5776,3507238.6938999966
-10670104.7764,3507228.8171999976
-10670398.8639,3506951.976300001
-10669730.8955,3506821.2223000005
-10669472.5803,3506568.6213999987
-10669569.0148,3506611.696800001
-10669615.8457,3506460.662100002
-10670124.3253,3506659.605899997
-10670552.9196,3506665.0341000035
-10670552.9196,3506665.0341000035
-10650776.9179,3497528.6270999983
-10650739.1963,3497527.911899999
-10650659.9391,3497529.9272999987
-10650817.3068,3497522.0151000023
-10651121.8442,3497530.148599997
-10650996.0243,3497512.2695000023
-10651079.4525,3497519.3794
-10651037.2718,3497511.7613999993
-10651619.62,3497367.9368999973
-10651539.02,3497344.9158999994
-10651618.5443,3497288.716499999
-10651245.2261,3497391.3125
-10651032.7784,3497399.0556000024
-10651091.6283,3497327.934100002
-10651167.1225,3497043.079400003
-10607452.707,3489874.0942
-10607279.5575,3489742.5727000013
-10605835.7628,3488683.231200002
-10606463.1397,3488953.4235000014
-10604286.6331,3489379.2238000035
-10604231.0964,3489078.9353
-10604227.0564,3489018.902999997
-10604112.6447,3488894.0502000004
-10605230.889,3488719.5662999973
-10605453.5805,3488687.4202999994
-10604660.4188,3488988.9092999995
-10604610.3653,3488889.2744000033
-10604162.4943,3488893.1669000015
-10605566.5049,3489034.8225999996
-10603268.4386,3490362.8786000013
-10604089.8592,3488788.1162
-10604089.1804,3488736.253399998
-10604088.9102,3488715.592
-10604277.1334,3488818.0669
-10604298.2107,3488818.0878000036
-10604340.3648,3488818.1291000023
-10604319.342,3488773.9751999974
-10604277.1874,3488773.9337000027
-10604192.8779,3488773.8496999964
-10604171.8002,3488773.828599997
-10604150.7222,3488773.8074999973
-10604149.2776,3488720.5249999985
-10604199.9858,3488721.2047000006
-10604240.5452,3488678.9267000034
-10604240.3584,3488651.2564999983
-10604240.5295,3488623.451200001
-10604305.9226,3488622.0890000015
-10604293.9784,3488711.0854
-10604359.9715,3488662.4170999974
-10604390.3789,3488577.4179999977
-10604418.166,3488683.7449999973
-10604418.816,3488735.8806999996
-10604419.154,3488787.2600999996
-10604171.747,3488817.9619000033
-10604256.1103,3488773.912799999
-10604235.0332,3488773.8918000013
-10605308.9338,3488623.3008999974
-10605382.9536,3488623.463399999
-10605384.772,3488707.4437000006
-10605377.3721,3488752.175800003
-10607233.1677,3488921.3818999976
-10607232.7575,3488884.3259999976
-10607220.0994,3488851.9848999977
-10607185.8894,3488934.2892000005
-10607185.3364,3488884.862300001
-10607172.6785,3488852.520999998
-10607124.6855,3488923.731200002
-10607124.3109,3488887.1445000023
-10606978.2391,3488912.7951000035
-10607048.2225,3488912.095700003
-10641804.6179,3519276.0797000006
-10604226.854,3503267.7514000013
-10608242.4133,3474582.6538999975
-10608379.3944,3474317.2299999967
-10608268.8263,3473788.6477999985
-10636557.2545,3484184.4860000014
-10666794.9318,3478018.786399998
-10666950.2929,3478020.184799999
-10666542.4072,3478003.7036999986
-10581686.5775,3461955.1719999984
-10581007.1807,3462467.1608999968
-10580953.146,3462597.8649000004
-10583060.6957,3463082.1733999997
-10582999.6508,3462414.9069000036
-10584387.8893,3461702.2995999977
-10583452.88,3462395.2393999994
-10577322.8137,3456504.8665999994
-10614810.5759,3493210.5489000008
-10614836.1328,3492246.5864999965
-10615518.9844,3492958.1840000004
-10614896.586,3492879.208800003
-10614991.1861,3493419.773699999
-10614557.0939,3491348.4305000007
-10615387.53,3490839.626199998
-10615747.6353,3490610.1753999963
-10614657.9506,3491666.3703000024
-10614594.1295,3491667.0737000033
-10614532.2399,3491667.0270000026
-10614657.7549,3491510.840499997
-10614679.3679,3491577.766099997
-10614239.0735,3491513.8044999987
-10614492.0455,3491511.887500003
-10607176.2336,3468177.6163000017
-10610596.3069,3455956.699699998
-10611385.9419,3454683.3571999967
-10616685.6362,3454428.2660000026
-10613897.7585,3454317.0407999977
-10615557.1145,3454219.3883000016
-10613731.7664,3454046.6757000014
-10613206.7491,3453686.469899997
-10615267.1459,3453651.6589
-10614044.116,3453373.332199998
-10614102.0013,3453719.7687000036
-10609209.1581,3489917.853699997
-10609294.4645,3489733.850299999
-10609276.7819,3489787.8051000014
-10609242.0897,3489734.196800001
-10609090.2419,3489736.175300002
-10609206.9093,3489734.5062000006
-10609028.6412,3489989.4252000004
-10582690.272,3492265.6098000035
-10582578.6359,3492363.7918
-10582525.9386,3492410.521899998
-10582652.0866,3492424.3121000007
-10633072.2398,3493922.196999997
-10633312.9257,3493921.4231999964
-10633549.4385,3493869.980700001
-10633656.3354,3493742.7584000006
-10633566.108,3493743.7503999993
-10633620.5149,3493743.1492
-10633064.4082,3493804.338100001
-10632990.8746,3493804.152400002
-10632955.2909,3493749.2864999995
-10632665.0049,3493679.6684999987
-10632644.8474,3493675.1636999995
-10632661.164,3493623.601499997
-10632849.8024,3493620.423799999
-10632801.4841,3493620.7961999997
-10632775.1287,3493620.999300003
-10632832.232,3493620.5591999963
-10632757.5309,3493679.0129000023
-10632967.6229,3493678.4460999966
-10632950.0532,3493678.6609999985
-10632923.6989,3493678.9833000004
-10633094.1241,3493676.8988000005
-10633111.6937,3493676.6834999993
-10633129.2633,3493676.468500003
-10633138.0481,3493676.3608999997
-10633076.5546,3493677.1137999967
-10633045.8077,3493677.4900999963
-10633263.7681,3493618.6331999972
-10633263.6848,3493675.1445999965
-10633272.4703,3493675.1577999964
-10633307.6122,3493675.2097999975
-10633290.1245,3493618.672200002
-10633325.2657,3493618.724100001
-10633373.8646,3493674.5754999965
-10633417.7911,3493674.2978999987
-10633620.6859,3493671.4297999963
-10633603.1161,3493671.628399998
-10633284.8567,3493491.5
-10633063.6422,3493546.6603000015
-10633125.0103,3493546.3659000024
-10633150.3784,3493489.5188999996
-10633049.618,3493490.2474000007
-10633164.3638,3493545.962700002
-10632933.6129,3493490.8210000023
-10632885.478,3493547.6988999993
-10632740.93,3493549.7635999992
-10632718.9668,3493549.8778000027
-10632612.0748,3493549.576399997
-10632664.7893,3493549.1301999986
-10632647.2193,3493549.280199997
-10632600.7294,3493493.401799999
-10632909.9978,3493415.4714
-10632957.5631,3493358.4301000014
-10632931.9599,3493415.2277999967
-10632945.1372,3493415.081600003
-10632926.8164,3493358.7712000012
-10632997.8465,3493414.496600002
-10633100.5463,3493357.040600002
-10633136.456,3493412.2289000005
-10633039.8202,3493412.910400003
-10633302.6463,3493412.5288999975
-10633205.6088,3493357.3822000027
-10633276.2133,3493412.2907999977
-10633232.0418,3493412.4924999997
-10633218.8229,3493357.1840000004
-10633158.5239,3492771.8258000016
-10633140.2576,3492719.089299999
-10633087.5513,3492719.6128999963
-10634565.5265,3492434.8247999996
-10636228.6961,3493593.0046000034
-10636261.2009,3493592.746600002
-10611218.4596,3490560.0308
-10611909.9076,3490557.030199997
-10612108.4847,3490424.8949000016
-10612326.7914,3489855.0956000015
-10623073.7977,3451526.9931999967
-10622886.4642,3451056.394299999
-10621615.1324,3450555.2185999975
-10599621.6224,3466778.869599998
-10599354.9301,3465224.5517000034
-10599232.6513,3465174.2057000026
-10600722.1739,3464941.755599998
-10598994.9671,3466836.663999997
-10599008.1663,3466863.4870999977
-10598529.529,3466749.1794999987
-10598420.5359,3466769.150799997
-10598420.5852,3466786.8171000034
-10598385.3325,3466699.1265999973
-10598247.9342,3466324.1400000006
-10598248.3685,3466377.008299999
-10598297.3789,3466323.729500003
-10598297.234,3466306.106700003
-10598409.493,3466054.9164000005
-10598637.0131,3465864.4485
-10598636.2137,3465767.527099997
-10598522.2993,3465944.708899997
-10598408.5937,3465945.658
-10598408.4486,3465928.0358000025
-10598407.7236,3465839.924999997
-10598635.8914,3465675.1037999988
-10598055.0392,3465298.725299999
-10598004.8977,3465299.228500001
-10598006.1993,3465431.3861000016
-10606637.4499,3462695.465999998
-10606672.4151,3473180.9758
-10606676.2697,3472562.5392000005
-10606993.2771,3471975.3280000016
-10607207.8718,3471939.2302
-10606338.1191,3479873.1930000037
-10607135.4653,3479796.5160000026
-10606834.946,3481121.6185000017
-10594923.1246,3464756.913400002
-10594708.8672,3463815.533399999
-10608152.6734,3469058.4684000015
-10612583.5603,3480058.753899999
-10594937.4643,3445973.5798000023
-10602885.0152,3459528.621600002
-10602911.9894,3459506.4976999983
-10602938.7275,3459485.2366999984
-10602925.8938,3459495.8709999993
-10602898.4,3459517.515299998
-10602998.6917,3459528.0046000034
-10602985.2045,3459539.0538000017
-10603063.6077,3459635.7628000006
-10603066.1465,3460035.0429000035
-10603073.7625,3460017.3241000026
-10603068.8597,3459956.7446999997
-10603058.7538,3459971.6718999967
-10602986.511,3459936.8005999997
-10603000.02,3459925.578900002
-10602734.596,3459488.1050999984
-10602873.7449,3460028.2458000034
-10602955.5032,3459961.413400002
