x,y
-10613402.3261,3471222.966600001
-10599195.2023,3455879.4488999993
-10615096.1648,3474718.9230000004
-10615249.9411,3474755.659000002
-10615370.1834,3474785.2898999974
-10615539.295,3474966.4114999995
-10615479.8648,3474914.9157999977
-10615378.57,3475043.5332999974
-10615072.1655,3475133.4530000016
-10615233.5861,3475261.457999997
-10615545.4145,3475072.7795
-10615850.1557,3474988.1339000016
-10615175.969,3475476.3786000013
-10615654.2467,3475631.077399999
-10615701.007,3475601.7892000005
-10615591.336,3475571.5320999995
-10615359.0892,3475850.912299998
-10611446.1874,3476935.6168000028
-10611158.8723,3476593.955499999
-10611431.1498,3476131.499499999
-10611479.9289,3475430.973899998
-10611461.1756,3475303.2031999975
-10611349.8313,3475158.6309999973
-10611124.2209,3474940.8850999996
-10618083.3696,3470961.777800001
-10618014.8827,3470926.918200001
-10618145.8076,3470968.6186000034
-10617934.3235,3470965.5643000007
-10617435.5123,3494704.9758
-10617666.419,3494446.828400001
-10616072.0642,3491369.4988999963
-10616238.325,3490898.2355000004
-10617384.6912,3490561.8060000017
-10618075.5876,3491751.4487000033
-10617173.5048,3491891.0889
-10622016.2543,3452848.5212000012
-10621955.3876,3452740.7690000013
-10621623.9714,3452511.3809999973
-10622078.362,3452508.3869000003
-10612818.2124,3476533.0776000023
-10612836.2774,3476454.270999998
-10616868.2651,3474431.634499997
-10617084.9718,3474266.4443999976
-10617816.9599,3473655.958499998
-10617817.0606,3473682.3354
-10617676.0639,3473597.2168999985
-10617692.0968,3473467.544500001
-10617535.4144,3473564.3315000013
-10613270.266,3476241.8457999974
-10618738.2892,3478609.6281000003
-10576422.2701,3460184.2914000005
-10576575.0197,3460075.029600002
-10576542.3735,3460016.7634000033
-10575953.6132,3460007.5429999977
-10576051.1932,3460155.827299997
-10576026.3723,3460198.0754000023
-10576589.7631,3460346.1635999978
-10576615.2913,3460420.1894999966
-10576456.7522,3460496.0314000025
-10576369.9978,3460591.3237000033
-10576477.0051,3460637.0672999993
-10576259.9688,3460988.047600001
-10576071.4713,3461051.2776999995
-10576237.224,3461216.6775999963
-10576838.0354,3460935.7924999967
-10575073.6809,3460887.5868000016
-10617153.1188,3474845.7641000003
-10626951.4289,3466507.0097000003
-10626919.7483,3466214.338799998
-10626847.14,3466031.7139
-10626858.3868,3465650.4033999965
-10626969.6117,3465464.7685000002
-10627213.2643,3465414.7396000028
-10627195.7316,3465414.8390000015
-10627145.6729,3465577.3948
-10627290.9455,3465850.7760000005
-10627104.1757,3465852.3139000013
-10627201.7926,3466025.662100002
-10627202.6742,3466091.914300002
-10627160.851,3466092.5912000015
-10627091.4588,3466377.173600003
-10627227.3355,3466375.1965999976
-10627585.8963,3466253.690899998
-10627676.3962,3466204.2092000023
-10627585.0191,3466206.2710999995
-10627893.9502,3465572.2016000003
-10627911.4688,3465348.7651999965
-10612510.8742,3470940.5398999974
-10612529.1546,3471163.639200002
-10612507.6122,3471055.037100002
-10612490.0948,3471104.8303999975
-10612456.9874,3471093.2271
-10612168.214,3471082.313500002
-10612162.5291,3471098.534699999
-10612450.1815,3471218.402999997
-10612411.2586,3471223.2638000026
-10612107.9399,3471253.8671000004
-10618919.59,3478214.824199997
-10609899.4016,3466192.9465000033
-10609630.5162,3466072.5988000035
-10609687.4646,3466240.849799998
-10620773.2316,3473451.4864000008
-10621198.3454,3473765.217799999
-10621180.473,3473752.1999000013
-10620594.9999,3473736.374499999
-10621324.8757,3474421.290100001
-10621319.3369,3474597.8896000013
-10582236.4146,3492418.4452000037
-10582035.4022,3492057.1010999978
-10618210.6135,3469835.636699997
-10614310.8491,3475199.918300003
-10614440.337,3475266.4060999975
-10614766.7967,3475238.347199999
-10614766.6336,3475220.585699998
-10614804.78,3475201.9103000015
-10614711.0314,3474964.7764
-10618538.4394,3471627.0078999996
-10618573.3568,3471590.1237000003
-10618862.5589,3471616.420900002
-10613816.8022,3474898.8400000036
-10613769.8314,3475145.0121000037
-10612495.2925,3475190.025200002
-10612800.5346,3475699.7488999963
-10612888.4473,3475874.804700002
-10623250.3928,3491341.3971000016
-10623225.9327,3491447.8532999977
-10623177.9808,3491483.2967000008
-10610359.1181,3475427.9531000033
